Top pages,Clicks,Impressions,CTR,Position
https://tjnailskaty.com/,44,1942,2.27%,8.74
http://tjnailskaty.com/,10,282,3.55%,11.26
http://tjnailskaty.com/menu,7,212,3.3%,5.41
https://tjnailskaty.com/menu,2,198,1.01%,7.54
